id,POI名称,百度一级分类,百度二级分类,区域,X_北向_米,Y_东向_米,domain,element,采样权重,影响半径(米),地址提示
yc_poi_000,解放路步行街,购物,步行街/商业街,西陵-解放路,3407200,528000,urban_operation,service,2.0,300,西陵区解放路步行街中心
yc_poi_001,夷陵广场,休闲娱乐,休闲广场,西陵-夷陵广场,3407800,528500,urban_operation,event,1.8,300,西陵区夷陵广场
yc_poi_002,铁路坝商圈,购物,百货商场,西陵-铁路坝,3408000,529800,urban_operation,service,1.5,300,西陵区铁路坝
yc_poi_003,CBD 万达广场,购物,购物中心,西陵-CBD,3408800,530800,urban_operation,event,2.2,300,西陵区沿江大道万达广场
yc_poi_004,兴发广场,购物,购物中心,西陵-兴发,3408000,529200,urban_operation,service,1.4,300,西陵区兴发广场
yc_poi_005,卓悦广场,购物,购物中心,西陵-卓悦,3408200,529600,urban_operation,service,1.0,300,西陵区卓悦广场
yc_poi_006,水悦城,购物,购物中心,西陵-水悦城,3408600,530400,urban_operation,service,1.2,300,西陵区水悦城
yc_poi_007,太古里（西陵）,购物,购物中心,西陵-太古里,3409200,531200,urban_operation,service,1.0,300,西陵区太古里
yc_poi_008,伍家岗万达,购物,购物中心,伍家-万达,3411500,537000,urban_operation,service,1.6,300,伍家岗区万达广场
yc_poi_009,国贸大厦,购物,百货商场,西陵-国贸,3407900,528800,urban_operation,service,1.3,300,西陵区国贸大厦
yc_poi_010,大洋百货,购物,百货商场,西陵-大洋,3407700,528700,urban_operation,service,1.2,300,西陵区大洋百货
yc_poi_011,新世纪百货,购物,百货商场,西陵-新世纪,3407500,528400,urban_operation,service,1.0,300,西陵区新世纪百货
yc_poi_012,雅斯百货（CBD 店）,购物,百货商场,西陵-雅斯,3408900,530900,urban_operation,service,0.9,300,西陵区雅斯百货
yc_poi_013,雅斯广场（伍家店）,购物,购物中心,伍家-雅斯,3411500,536500,urban_operation,service,1.1,300,伍家岗区雅斯广场
yc_poi_014,北山超市（CBD）,购物,超市,西陵-北山,3408800,530700,urban_operation,service,0.7,300,西陵区北山超市
yc_poi_015,东方超市（伍家）,购物,超市,伍家-东方,3411600,536800,urban_operation,service,0.7,300,伍家岗区东方超市
yc_poi_016,悦活里超市,购物,超市,西陵-悦活里,3408200,529900,urban_operation,service,0.5,300,西陵区悦活里
yc_poi_017,二马路（主街）,道路,城市支路,西陵-二马路,3406500,524800,urban_renewal,culture,2.5,300,西陵区二马路
yc_poi_018,大南门,旅游景点,文物古迹,西陵-大南门,3406300,524200,urban_renewal,culture,2.0,300,西陵区大南门
yc_poi_019,红星路,道路,城市支路,西陵-红星路,3406700,525500,urban_renewal,culture,1.5,300,西陵区红星路
yc_poi_020,献福路,道路,城市支路,西陵-献福路,3406600,524600,urban_renewal,culture,1.4,300,西陵区献福路
yc_poi_021,樵湖岭,生活服务,公用事业,西陵-樵湖岭,3407000,525000,urban_renewal,facility,1.3,300,西陵区樵湖岭
yc_poi_022,文庙（西陵）,旅游景点,文物古迹,西陵-文庙,3406500,524500,urban_renewal,culture,1.8,300,西陵区文庙
yc_poi_023,古佛寺,旅游景点,寺庙,西陵-古佛寺,3406800,525200,urban_renewal,culture,1.2,300,西陵区古佛寺
yc_poi_024,西陵剧场,休闲娱乐,剧院,西陵-二马路,3406400,524400,urban_renewal,culture,1.1,300,西陵区二马路西陵剧场
yc_poi_025,二马路老茶馆（老字号）,美食,茶座,西陵-二马路,3406550,524700,urban_renewal,culture,1.6,300,西陵区二马路老茶馆
yc_poi_026,九码头（老字号）,美食,中餐厅,西陵-二马路,3406450,524900,urban_renewal,culture,1.5,300,西陵区二马路九码头
yc_poi_027,陶然居（二马路店）,美食,中餐厅,西陵-二马路,3406500,524600,urban_renewal,culture,1.0,300,西陵区二马路陶然居
yc_poi_028,老宜昌（老字号）,美食,中餐厅,西陵-二马路,3406450,524500,urban_renewal,culture,1.2,300,西陵区二马路老宜昌
yc_poi_029,宜昌市民中心,政府机构,各级政府,西陵-市民中心,3407700,528500,urban_governance,service,0.8,300,西陵区市民中心
yc_poi_030,西陵区政府,政府机构,各级政府,西陵-政府,3407600,528300,urban_governance,facility,0.6,300,西陵区西陵区政府
yc_poi_031,伍家岗区政府,政府机构,各级政府,伍家-政府,3412000,536500,urban_governance,facility,0.6,300,伍家岗区伍家岗区政府
yc_poi_032,宜昌市规划局,政府机构,行政单位,西陵-规划,3407800,528700,urban_planning,facility,0.4,300,西陵区规划局
yc_poi_033,宜昌市住建局,政府机构,行政单位,西陵-住建,3407750,528600,urban_renewal,facility,0.4,300,西陵区住建局
yc_poi_034,宜昌市城管委,政府机构,行政单位,西陵-城管,3407700,528900,urban_governance,facility,0.5,300,西陵区城管委
yc_poi_035,宜昌市公安局,政府机构,公检法机构,西陵-公安,3407800,529000,urban_governance,facility,0.4,300,西陵区公安局
yc_poi_036,12345 政务服务热线,政府机构,行政单位,西陵-12345,3407700,528500,urban_governance,service,0.3,300,西陵区12345受理中心
yc_poi_037,西陵区市民服务中心,政府机构,行政单位,西陵-二马路,3406800,524700,urban_governance,service,0.5,300,西陵区市民服务中心（樵湖岭）
yc_poi_038,宜昌市中心医院,医疗,综合医院,西陵-中心医院,3408800,529500,urban_governance,service,0.9,300,西陵区中心医院
yc_poi_039,宜昌市第一人民医院,医疗,综合医院,西陵-一医院,3407300,527500,urban_governance,service,0.8,300,西陵区一医院
yc_poi_040,宜昌市第二人民医院,医疗,综合医院,西陵-二医院,3407200,526800,urban_governance,service,0.7,300,西陵区二医院
yc_poi_041,宜昌市中医医院,医疗,专科医院,西陵-中医院,3408300,528900,urban_governance,service,0.6,300,西陵区中医院
yc_poi_042,伍家医院,医疗,综合医院,伍家-医院,3411800,536000,urban_governance,service,0.6,300,伍家岗区伍家医院
yc_poi_043,三峡大学附属仁和医院,医疗,综合医院,西陵-仁和,3409600,528200,urban_governance,service,0.5,300,西陵区仁和医院
yc_poi_044,西陵区疾控中心,医疗,疾控中心,西陵-疾控,3407650,528400,urban_governance,service,0.3,300,西陵区疾控中心
yc_poi_045,三峡大学,教育培训,高等院校,西陵-三大学,3409500,528000,urban_operation,service,1.2,300,西陵区三峡大学
yc_poi_046,宜昌一中,教育培训,中学,西陵-一中,3407400,527200,urban_operation,service,0.7,300,西陵区宜昌一中
yc_poi_047,夷陵中学,教育培训,中学,西陵-夷陵中学,3408000,526800,urban_operation,service,0.6,300,西陵区夷陵中学
yc_poi_048,宜昌市二中,教育培训,中学,西陵-二中,3407700,527500,urban_operation,service,0.5,300,西陵区宜昌二中
yc_poi_049,宜昌市实验小学,教育培训,小学,西陵-实验小学,3407600,528200,urban_operation,service,0.4,300,西陵区实验小学
yc_poi_050,西陵区实验小学,教育培训,小学,西陵-西实小,3407000,527000,urban_operation,service,0.4,300,西陵区西陵实验小学
yc_poi_051,伍家岗区实验小学,教育培训,小学,伍家-伍实小,3411700,536000,urban_operation,service,0.4,300,伍家岗区实验小学
yc_poi_052,伍家岗区幼儿园（示范）,教育培训,幼儿园,伍家-幼儿园,3411900,535800,urban_operation,service,0.3,300,伍家岗区示范幼儿园
yc_poi_053,宜昌站,交通设施,火车站,西陵-宜昌站,3409000,530500,urban_governance,facility,1.5,300,西陵区宜昌站
yc_poi_054,宜昌东站,交通设施,火车站,伍家-宜昌东,3413000,540000,urban_governance,facility,1.6,300,伍家岗区宜昌东站
yc_poi_055,三峡机场,交通设施,飞机场,猇亭-三峡机场,3418000,560000,urban_governance,facility,1.0,200,猇亭区三峡机场
yc_poi_056,宜昌港（客运）,交通设施,港口,西陵-宜昌港,3407200,526000,urban_governance,facility,0.6,300,西陵区宜昌港
yc_poi_057,宜昌汽车客运中心站,交通设施,长途汽车站,西陵-客运中心,3408800,529700,urban_governance,facility,0.8,300,西陵区汽车客运中心
yc_poi_058,夷陵长江大桥,交通设施,桥,西陵-夷陵桥,3408500,525000,urban_governance,facility,0.5,300,西陵区夷陵长江大桥
yc_poi_059,宜昌长江大桥,交通设施,桥,伍家-宜昌桥,3411500,538000,urban_governance,facility,0.5,300,伍家岗区宜昌长江大桥
yc_poi_060,伍家岗长江大桥,交通设施,桥,伍家-伍家桥,3412500,541000,urban_planning,facility,0.5,300,伍家岗区伍家岗长江大桥
yc_poi_061,至喜长江大桥,交通设施,桥,西陵-至喜桥,3407000,522000,urban_planning,facility,0.5,300,西陵区至喜长江大桥
yc_poi_062,东山大道 BRT 站,交通设施,公交车站,西陵-BRT,3408400,529800,urban_governance,facility,0.6,300,西陵区东山大道 BRT 站
yc_poi_063,沿江大道 BRT 站,交通设施,公交车站,西陵-BRT,3408500,530000,urban_governance,facility,0.6,300,西陵区沿江大道 BRT 站
yc_poi_064,夷陵大道 BRT 站,交通设施,公交车站,西陵-BRT,3408200,530200,urban_governance,facility,0.5,300,西陵区夷陵大道 BRT 站
yc_poi_065,发展大道 BRT 站,交通设施,公交车站,伍家-BRT,3410000,533000,urban_governance,facility,0.5,300,伍家岗区发展大道 BRT 站
yc_poi_066,城东大道 BRT 站,交通设施,公交车站,伍家-BRT,3411000,535500,urban_governance,facility,0.5,300,伍家岗区城东大道 BRT 站
yc_poi_067,中建·宜昌之星 BRT 站,交通设施,公交车站,伍家-BRT,3411800,537000,urban_governance,facility,0.4,300,伍家岗区中建宜昌之星 BRT 站
yc_poi_068,宜昌公交集团,交通设施,公交车站,西陵-公交,3408300,530000,urban_governance,facility,0.4,300,西陵区公交集团
yc_poi_069,中石化加油站（CBD）,交通设施,加油加气站,西陵-加油站,3409000,531000,urban_operation,facility,0.3,300,西陵区中石化加油站
yc_poi_070,中石油加油站（伍家）,交通设施,加油加气站,伍家-加油站,3412000,536500,urban_operation,facility,0.3,300,伍家岗区中石油加油站
yc_poi_071,特来电充电站（CBD）,交通设施,充电站,西陵-充电站,3409000,530800,urban_planning,facility,0.3,300,西陵区特来电充电站
yc_poi_072,伍家岗公共停车场,交通设施,停车场,伍家-停车场,3411700,536500,urban_governance,facility,0.4,300,伍家岗区公共停车场
yc_poi_073,滨江公园,旅游景点,公园,西陵-滨江,3407500,528200,urban_operation,environment,1.5,300,西陵区滨江公园
yc_poi_074,滨江公园（双亭广场）,旅游景点,公园,西陵-滨江,3407700,528600,urban_operation,environment,1.0,300,西陵区滨江公园双亭广场
yc_poi_075,滨江公园（镇江阁）,旅游景点,景点,西陵-滨江,3407400,527800,urban_operation,environment,1.0,300,西陵区镇江阁
yc_poi_076,东山公园,旅游景点,公园,伍家-东山,3410500,532500,urban_operation,environment,1.3,300,伍家岗区东山公园
yc_poi_077,磨基山森林公园,旅游景点,风景区,西陵-磨基山,3409500,532000,urban_operation,environment,1.0,300,西陵区磨基山森林公园
yc_poi_078,儿童公园,旅游景点,公园,西陵-儿童公园,3407500,528200,urban_operation,environment,0.8,300,西陵区儿童公园
yc_poi_079,城东公园,旅游景点,公园,伍家-城东,3411000,534500,urban_operation,environment,0.7,300,伍家岗区城东公园
yc_poi_080,求索公园,旅游景点,公园,伍家-求索,3411500,535000,urban_operation,environment,0.6,300,伍家岗区求索公园
yc_poi_081,和平公园,旅游景点,公园,西陵-和平,3408800,531000,urban_operation,environment,0.6,300,西陵区和平公园
yc_poi_082,三峡博物馆,文化传媒,博物馆,西陵-博物馆,3407700,527800,urban_renewal,culture,1.0,300,西陵区三峡博物馆
yc_poi_083,宜昌市规划展览馆,文化传媒,展览馆,西陵-规划馆,3407800,528400,urban_planning,culture,0.7,300,西陵区规划展览馆
yc_poi_084,宜昌市美术馆,文化传媒,美术馆,西陵-美术馆,3407600,528000,urban_operation,culture,0.5,300,西陵区美术馆
yc_poi_085,宜昌市图书馆,教育培训,图书馆,西陵-图书馆,3407800,528300,urban_operation,service,0.6,300,西陵区图书馆
yc_poi_086,宜昌科技馆,教育培训,科技馆,西陵-科技馆,3407600,527600,urban_operation,service,0.5,300,西陵区科技馆
yc_poi_087,西陵区文化馆,文化传媒,文化宫,西陵-二马路,3406800,524800,urban_renewal,culture,0.6,300,西陵区二马路西陵区文化馆
yc_poi_088,屈原文化园,文化传媒,展览馆,西陵-屈原园,3407500,528500,urban_renewal,culture,0.5,300,西陵区屈原文化园
yc_poi_089,中影国际影城（CBD）,休闲娱乐,电影院,西陵-影院,3408900,530900,urban_operation,event,0.7,300,西陵区中影国际影城
yc_poi_090,万达影城（CBD）,休闲娱乐,电影院,西陵-万达影城,3408850,530700,urban_operation,event,0.7,300,西陵区万达影城
yc_poi_091,横店影视（伍家）,休闲娱乐,电影院,伍家-影院,3411500,537000,urban_operation,event,0.5,300,伍家岗区横店影视
yc_poi_092,麦颂 KTV,休闲娱乐,ktv,西陵-KTV,3408700,530500,urban_operation,event,0.4,300,西陵区麦颂 KTV
yc_poi_093,米乐星 KTV（伍家）,休闲娱乐,ktv,伍家-KTV,3411400,536800,urban_operation,event,0.4,300,伍家岗区米乐星 KTV
yc_poi_094,星动健身（CBD）,运动健身,健身中心,西陵-健身,3408800,530600,urban_operation,service,0.5,300,西陵区星动健身
yc_poi_095,奥体中心,运动健身,体育场馆,伍家-奥体,3412000,534000,urban_operation,event,0.6,300,伍家岗区奥体中心
yc_poi_096,屈原国际大酒店,酒店,星级酒店,西陵-酒店,3407700,527500,urban_operation,service,0.6,300,西陵区屈原国际大酒店
yc_poi_097,宜昌万达瑞华酒店,酒店,星级酒店,西陵-瑞华,3409000,530900,urban_operation,service,0.5,300,西陵区万达瑞华酒店
yc_poi_098,宜昌均瑶禧玥酒店,酒店,星级酒店,西陵-禧玥,3408400,529800,urban_operation,service,0.5,300,西陵区均瑶禧玥酒店
yc_poi_099,锦江都城（西陵）,酒店,快捷酒店,西陵-锦江,3407800,528700,urban_operation,service,0.4,300,西陵区锦江都城
yc_poi_100,汉庭酒店（伍家）,酒店,快捷酒店,伍家-汉庭,3411800,536200,urban_operation,service,0.3,300,伍家岗区汉庭酒店
yc_poi_101,桔子水晶（CBD）,酒店,快捷酒店,西陵-桔子,3408700,530500,urban_operation,service,0.3,300,西陵区桔子水晶酒店
yc_poi_102,工商银行（西陵支行）,金融,银行,西陵-工行,3408200,529200,urban_operation,service,0.4,300,西陵区工商银行支行
yc_poi_103,建设银行（CBD 支行）,金融,银行,西陵-建行,3408800,530600,urban_operation,service,0.4,300,西陵区建设银行 CBD 支行
yc_poi_104,农业银行（伍家支行）,金融,银行,伍家-农行,3411500,536500,urban_operation,service,0.3,300,伍家岗区农业银行
yc_poi_105,中国银行（CBD）,金融,银行,西陵-中行,3408700,530700,urban_operation,service,0.3,300,西陵区中国银行
yc_poi_106,招商银行（CBD）,金融,银行,西陵-招行,3408900,530800,urban_operation,service,0.3,300,西陵区招商银行
yc_poi_107,湖北银行（伍家）,金融,银行,伍家-湖北行,3411600,536200,urban_operation,service,0.3,300,伍家岗区湖北银行
yc_poi_108,邮储银行（西陵）,金融,银行,西陵-邮储,3407600,528500,urban_operation,service,0.3,300,西陵区邮储银行
yc_poi_109,东山花园,房地产,住宅区,伍家-东山花园,3410500,533000,urban_renewal,service,0.9,300,伍家岗区东山花园
yc_poi_110,伍家岗住宅区,房地产,住宅区,伍家-住宅,3412000,536500,urban_renewal,service,0.8,300,伍家岗区住宅片区
yc_poi_111,伍家北住宅区,房地产,住宅区,伍家-北住宅,3414000,538000,urban_renewal,service,0.6,300,伍家岗区北住宅片区
yc_poi_112,西陵老居住区,房地产,住宅区,西陵-老居住,3407200,526500,urban_renewal,culture,0.9,300,西陵区老居住片区
yc_poi_113,CBD 高层住宅区,房地产,住宅区,西陵-CBD住宅,3409000,531000,urban_planning,service,0.7,300,西陵区 CBD 高层住宅
yc_poi_114,上上城,房地产,住宅区,西陵-上上城,3407300,528200,urban_renewal,service,0.6,300,西陵区上上城
yc_poi_115,香格里拉花园,房地产,住宅区,伍家-香格里拉,3411500,535000,urban_operation,service,0.6,300,伍家岗区香格里拉花园
yc_poi_116,中建宜昌之星,房地产,住宅区,伍家-中建星,3411800,537000,urban_planning,service,0.7,300,伍家岗区中建宜昌之星
yc_poi_117,二马路老社区（西陵）,房地产,住宅区,西陵-二马路社区,3406600,524700,urban_renewal,culture,1.4,300,西陵区二马路老社区
yc_poi_118,二马路 1 号院落（拟改造）,房地产,住宅区,西陵-二马路,3406550,524700,urban_renewal,facility,0.8,300,西陵区二马路 1 号院
yc_poi_119,二马路 8 号老茶馆,美食,茶座,西陵-二马路,3406500,524900,urban_renewal,culture,0.8,300,西陵区二马路 8 号
yc_poi_120,二马路非遗工坊,文化传媒,艺术团体,西陵-二马路,3406450,524600,urban_renewal,culture,0.9,300,西陵区二马路非遗工坊
yc_poi_121,二马路 18 号文创店,购物,商铺,西陵-二马路,3406550,525000,urban_renewal,culture,0.7,300,西陵区二马路 18 号文创
yc_poi_122,二马路改造指挥部,政府机构,行政单位,西陵-二马路,3406600,524800,urban_renewal,facility,0.6,300,西陵区二马路改造指挥部
yc_poi_123,红星路 12 号民居,房地产,住宅区,西陵-红星路,3406700,525400,urban_renewal,culture,0.7,300,西陵区红星路 12 号
yc_poi_124,献福路社区中心,生活服务,家政服务,西陵-献福路,3406600,524500,urban_renewal,service,0.6,300,西陵区献福路社区
yc_poi_125,大南门老茶馆（网红）,美食,茶座,西陵-大南门,3406350,524300,urban_renewal,culture,1.2,300,西陵区大南门老茶馆
yc_poi_126,大南门 5 号历史建筑,旅游景点,文物古迹,西陵-大南门,3406300,524100,urban_renewal,culture,1.0,300,西陵区大南门 5 号历史建筑
yc_poi_127,滨江步道（西陵段）,旅游景点,景点,西陵-滨江步道,3407800,529000,urban_operation,environment,1.0,300,西陵区滨江步道
yc_poi_128,滨江夜市（西陵段）,美食,小吃快餐店,西陵-滨江夜市,3407600,528400,urban_operation,event,1.3,300,西陵区滨江夜市
yc_poi_129,长江沿线（伍家段）,交通设施,港口,伍家-长江沿线,3411000,533500,urban_operation,environment,0.5,300,伍家岗区长江沿线
yc_poi_130,至喜长江大桥北,交通设施,桥,西陵-至喜桥北,3407050,522000,urban_governance,facility,0.4,300,西陵区至喜长江大桥北
yc_poi_131,沿江大道（西陵段）,道路,城市主干道,西陵-沿江大道,3408000,529500,urban_governance,facility,0.6,300,西陵区沿江大道
yc_poi_132,东山大道（西陵段）,道路,城市主干道,西陵-东山大道,3408300,529800,urban_governance,facility,0.5,300,西陵区东山大道
yc_poi_133,夷陵大道（伍家段）,道路,城市主干道,伍家-夷陵大道,3410000,533000,urban_governance,facility,0.5,300,伍家岗区夷陵大道
yc_poi_134,宜昌市消防支队,政府机构,公检法机构,西陵-消防,3408500,530000,urban_governance,facility,0.3,300,西陵区消防支队
yc_poi_135,西陵区消防大队,政府机构,公检法机构,西陵-消防大队,3407400,527800,urban_governance,facility,0.3,300,西陵区消防大队
yc_poi_136,伍家岗消防大队,政府机构,公检法机构,伍家-消防,3412000,537000,urban_governance,facility,0.3,300,伍家岗区消防大队
yc_poi_137,西陵区城管执法大队,政府机构,公检法机构,西陵-城管执法,3407700,528800,urban_governance,facility,0.3,300,西陵区城管执法大队
yc_poi_138,伍家岗区城管执法大队,政府机构,公检法机构,伍家-城管执法,3412100,536600,urban_governance,facility,0.3,300,伍家岗区城管执法大队
yc_poi_139,环卫中心（西陵）,政府机构,行政单位,西陵-环卫,3407300,527500,urban_governance,facility,0.3,300,西陵区环卫中心
yc_poi_140,市政设施维护中心,政府机构,行政单位,西陵-市政,3407600,528600,urban_governance,facility,0.3,300,西陵区市政设施维护中心
yc_poi_141,防汛抗旱指挥部（西陵）,政府机构,行政单位,西陵-防汛,3407400,528500,urban_governance,facility,0.3,300,西陵区防汛抗旱指挥部
yc_poi_142,应急避难场所（滨江公园）,政府机构,福利机构,西陵-应急,3407500,528200,urban_governance,facility,0.3,300,西陵区应急避难场所
yc_poi_143,应急避难场所（东山公园）,政府机构,福利机构,伍家-应急,3410500,532500,urban_governance,facility,0.3,300,伍家岗区应急避难场所
yc_poi_144,宜昌高新区产业园,公司企业,园区,伍家-高新区,3413500,542000,urban_planning,service,0.6,300,伍家岗区高新区产业园
yc_poi_145,西陵工业园,公司企业,园区,西陵-工业园,3408000,525500,urban_planning,service,0.4,300,西陵区工业园
yc_poi_146,兴发集团总部,公司企业,公司,西陵-兴发,3408100,529000,urban_planning,service,0.4,300,西陵区兴发集团
yc_poi_147,安琪酵母总部,公司企业,公司,西陵-安琪,3408200,528500,urban_planning,service,0.3,300,西陵区安琪酵母
yc_poi_148,宜昌传媒中心,文化传媒,新闻出版,西陵-传媒,3407800,528200,urban_operation,service,0.4,300,西陵区宜昌传媒中心
yc_poi_149,三峡广电中心,文化传媒,广播电视,西陵-广电,3408000,528400,urban_operation,service,0.4,300,西陵区三峡广电中心
yc_poi_150,中国移动（西陵营业厅）,生活服务,通讯营业厅,西陵-移动,3408000,529200,urban_operation,service,0.3,300,西陵区中国移动
yc_poi_151,中国联通（CBD）,生活服务,通讯营业厅,西陵-联通,3408800,530600,urban_operation,service,0.3,300,西陵区中国联通
yc_poi_152,中国电信（伍家）,生活服务,通讯营业厅,伍家-电信,3411500,536500,urban_operation,service,0.3,300,伍家岗区中国电信
yc_poi_153,西陵区邮政支局,生活服务,邮局,西陵-邮政,3407500,528300,urban_operation,service,0.3,300,西陵区邮政支局
yc_poi_154,顺丰快递（CBD）,生活服务,物流公司,西陵-顺丰,3408800,530800,urban_operation,service,0.3,300,西陵区顺丰快递
yc_poi_155,京东物流（伍家）,生活服务,物流公司,伍家-京东,3412000,537500,urban_operation,service,0.3,300,伍家岗区京东物流
yc_poi_156,美团外卖站（西陵）,生活服务,其他,西陵-美团,3408000,529500,urban_operation,service,0.4,300,西陵区美团外卖站
yc_poi_157,饿了么外卖站（伍家）,生活服务,其他,伍家-饿了么,3411500,537000,urban_operation,service,0.4,300,伍家岗区饿了么外卖站
